Index,   ith Word,   Length of ith Word ,   Hash Value for ith Word 
1,  Thepurpose, 10, 23 
2,  ofthisresearch, 14, 68 
3,  istoinvestigate, 15, 27 
4,  theeffect, 9, 64 
5,  jittjiterofjitter, 17, 98 
6, ontiontirange, 13, 23 
7, measurement, 11, 61 
8, inAMCWToF, 9, 61 
9, rangeimaging, 12, 79 
10, Thisisachieved, 14, 67 
11, bythreemain, 11, 45 
12, contributionsa, 14, 14 
13, development, 11, 53 
14, ofationticommon, 15, 67 
15, algorithmfor, 12, 34 
16, measurementof, 13, 51 
17, thejitterpresent, 16, 17 
18, insignals, 9, 51 
19, fromdepth, 9, 84 
20, camerasseassn, 13, 37 
21, secondlythe, 11, 100 
22, proposalofa, 11, 42 
23, costeffective, 13, 53 
24, alternative, 11, 12 
25, method, 6, 55 
26, tomeasure, 9, 27 
27, jitterbyorzrr, 13, 53 
28, usingasoftjittjiterware, 23, 70 
29, definedradio, 12, 32 
30, receiverand, 11, 26 
31, finallyananalysis, 17, 85 
32, ofjittjiterthe, 14, 44 
33, influenceof, 11, 9 
34, jitteronrange, 13, 54 
35, measurement, 11, 61 
36, Amongthethree, 13, 35 
37, contributions, 13, 34 
38, ofthisthesis, 12, 63 
39, firstanalgorithm, 16, 53 
40, forjitter, 9, 8 
41, extraction, 10, 47 
42, ofasignal, 9, 76 
43, withoutaccess, 13, 37 
44, toareference, 12, 98 
45, clocksignal, 11, 13 
46, isproposed, 10, 81 
47, Theproposed, 11, 48 
48, algorithmis, 11, 71 
49, basedupon, 9, 80 
50, Fouriertoottanalysis, 20, 80 
51, withsignalprocessing, 20, 2 
52, techniquesand, 13, 6 
53, itcanbeused, 11, 0 
54, forrealtime, 11, 94 
55, jitterextraction, 16, 40 
56, onamodulated, 12, 60 
57, signalwithany, 13, 17 
58, kindofshape, 11, 42 
59, sinusoidalseassn, 16, 90 
60, trianseassngular, 16, 95 
61, rectjittjiterangular, 20, 60 
62, Thejittjitermethod, 18, 75 
63, isusedto, 8, 31 
64, measurethe, 10, 3 
65, amounttiontiof, 14, 86 
66, jitterinthe, 11, 79 
67, lightsignals, 12, 10 
68, oftwoAMCW, 9, 4 
69, ToFseassnrange, 14, 74 
70, imagingcameras, 14, 68 
71, namely, 6, 86 
72, MESA, 4, 96 
73, ImagingSwissRanger, 18, 9 
74, andorzrro, 9, 66 
75, SoftKinetic, 11, 93 
76, DepthSense, 10, 18 
77, Periodicand, 11, 20 
78, randomjitter, 12, 94 
79, wereorzrrofound, 15, 72 
80, tobepresent, 11, 52 
81, inthejittjitelight, 18, 11 
82, soorzrrources, 13, 94 
83, oftoottoboth, 12, 40 
84, cameraswith, 11, 29 
85, theMESAtootto, 13, 8 
86, cameranotably, 13, 36 
87, worsewith, 9, 38 
88, randomjitter, 12, 94 
89, ofpstootto, 10, 42 
90, RMSinamplitude, 14, 41 
91, Nextorzrroorzrro, 16, 25 
92, aaasinanovel, 12, 74 
93, approrzrrooachan, 16, 18 
94, inexpensive, 11, 48 
95, softwaredefined, 15, 85 
96, radiotiontiSDR, 14, 77 
97, USBdongle, 9, 54 
98, toottoisused, 12, 90 
99, withthe, 7, 81 
100, proposedalgorithm, 17, 83 
101, toextractthe, 12, 20 
102, jitterinthe, 11, 79 
103, lightsignalof, 13, 22 
104, theaorzrrobove, 14, 9 
105, twoseassnToF, 12, 6 
106, cameraseassns, 13, 96 
